CODEDEP	LAT	LONG
17	45.95	-0.966667
18	47.0	2.58333
79	46.5	0.333333
26	44.75	5.16667
28	48.3333	1.41667
38	45.3333	5.5
47	44.3333	0.5
91	48.5	2.28333
68	47.9642	7.31972
52	48.0833	5.25
70	47.5833	6.0
51	49.0	4.25
63	45.7	3.21667
76	49.6667	0.833333
80	49.8833	2.41667
95	49.0619	2.08611
94	48.75	2.41667
83	43.5	6.33333
85	46.6706	-1.42667
01	46.0833	5.33333
02	49.5	3.5
03	46.3333	3.16667
08	49.5	4.66667
10	48.3333	4.16667
12	44.25	2.7
67	48.8167	7.78333
13	43.5	5.08333
22	48.3333	2.83333
14	49.0333	0.25
23	46.5833	2.05
25	47.1667	6.41667
27	49.0833	1.0
33	44.8333	0.666667
34	43.35	3.21667
2B	42.4667	9.2
31	43.4167	1.5
43	45.0	4.0
74	46.0	6.33333
87	45.8333	1.26667
65	43.2	0.133333
92	48.8333	2.2
36	46.7667	1.6
45	47.9167	2.16667
48	44.3333	3.6
50	49.05	1.25
54	48.6667	6.16667
55	49.0	5.33333
56	47.8333	-2.83333
57	49.0339	6.66194
60	49.3833	2.41667
61	48.7	0.0
62	50.95	1.85
64	43.25	0.833333
69	45.8333	4.66667
72	48.2833	0.216667
73	45.5833	6.33333
93	48.9	2.48333
82	44.0	1.33333
81	43.8167	2.2
90	47.75	7.0
84	44.0	5.16667
86	46.5	0.5
88	48.1667	6.41667
89	47.8	3.56667
78	48.8333	1.91667
06	43.8333	7.16667
04	44.0	6.16667
07	44.6667	4.41667
09	43.0	1.5
21	47.4167	4.83333
15	45.0333	3.1
16	45.8333	0.333333
19	45.3333	1.83333
2A	41.85	9.03333
24	45.0	0.666667
29	48.25	-4.0
30	44.1281	4.08167
32	43.65	0.583333
05	44.6667	6.33333
35	48.1667	1.66667
37	47.25	0.666667
39	46.6753	5.55444
40	44.0	0.833333
44	47.3333	1.66667
46	44.5833	1.58333
49	47.45	0.6
53	48.1667	0.666667
58	47.0833	3.5
59	50.3833	3.31667
66	42.5	2.75
71	46.6667	4.7
77	48.6	3.0
42	45.0833	4.08333
