depid,h0e,h1e,h2e,h3e,h4e,year
67,21,18,178,67,12,2009
68 ,27,4,147,74,11,2009
24 ,32,18,109,53,13,2009
33 ,32,19,132,61,18,2009
40 ,12,14,115,24,4,2009
47 ,10,6,48,8,4,2009
64 ,42,21,198,75,16,2009
03 ,11,13,75,11,4,2009
15 ,21,15,89,17,1,2009
43 ,10,14,57,17,3,2009
63 ,25,33,186,26,2,2009
14 ,40,20,141,63,9,2009
50 ,12,17,89,29,1,2009
61 ,2,12,60,8,2,2009
21 ,26,13,107,56,17,2009
58 ,7,8,54,13,1,2009
71 ,25,19,96,41,5,2009
89 ,17,7,55,14,4,2009
22 ,14,14,103,30,4,2009
29 ,13,9,147,50,2,2009
35 ,26,28,157,52,5,2009
56 ,16,19,137,45,10,2009
18 ,13,11,46,11,0,2009
28 ,10,8,28,10,1,2009
36 ,16,3,42,10,1,2009
37 ,26,14,100,31,18,2009
41 ,15,13,69,27,2,2009
45,24,17,80,20,4,2009
08,4,6,26,5,0,2009
10,9,2,30,23,3,2009
51,11,10,62,25,10,2009
52,9,9,44,7,0,2009
2A,16,10,79,76,22,2009
2B,20,4,74,68,5,2009
25,18,5,94,17,0,2009
39,17,6,78,15,1,2009
70,3,5,26,7,1,2009
90,4,1,10,4,0,2009
27,17,2,43,17,6,2009
76,50,12,111,31,3,2009
75,41,106,527,600,200,2009
77,42,10,70,27,13,2009
78,34,9,50,31,7,2009
91,32,7,39,20,1,2009
92,20,15,75,51,12,2009
93,31,9,40,21,1,2009
94,19,9,47,25,1,2009
95,28,10,45,17,9,2009
11,18,14,68,29,4,2009
30,16,14,103,50,7,2009
34,26,15,146,76,5,2009
48,16,13,81,16,1,2009
66,10,16,121,44,8,2009
19,11,10,78,13,1,2009
23,9,4,26,3,1,2009
87,17,18,55,9,2,2009
54,25,4,41,13,3,2009
55,3,4,32,3,1,2009
57,23,4,76,18,3,2009
88,23,10,107,26,4,2009
09,6,3,43,12,1,2009
12,22,13,110,33,3,2009
31,24,33,121,36,11,2009
32,11,10,40,7,1,2009
46,11,9,84,33,3,2009
65,40,41,179,100,7,2009
81,11,7,50,19,5,2009
82,4,3,29,7,1,2009
59,47,10,103,38,11,2009
62,28,12,109,33,12,2009
44,31,33,118,50,10,2009
49,17,6,88,16,5,2009
53,6,6,27,9,0,2009
72,14,12,48,15,3,2009
85,24,13,109,27,1,2009
02,13,4,42,13,3,2009
60,17,3,41,19,4,2009
80,9,7,45,20,1,2009
16,6,3,40,11,2,2009
17,27,20,159,45,4,2009
79,4,1,56,5,0,2009
86,17,8,56,18,2,2009
04,12,8,87,22,5,2009
05,24,19,128,22,0,2009
06,48,41,257,202,96,2009
13,39,28,196,112,39,2009
83,37,32,193,131,40,2009
84,32,12,105,57,17,2009
01,14,16,86,17,8,2009
07,14,15,94,21,2,2009
26,31,18,89,30,4,2009
38,22,21,170,52,8,2009
42,20,8,62,13,1,2009
69,29,19,133,58,18,2009
73,34,29,222,120,33,2009
74,66,28,311,138,33,2009
