depid,h0e,h1e,h2e,h3e,h4e,h5e,year
67,18,18,173,65,8,8,2010
68,15,15,146,75,5,5,2010
24,25,25,105,54,7,7,2010
33,26,26,147,61,9,9,2010
40,13,13,114,26,2,2,2010
47,7,7,49,9,1,1,2010
64,31,31,200,76,8,8,2010
03,10,10,71,12,2,2,2010
15,17,17,85,17,0,0,2010
43,11,11,58,18,1,1,2010
63,25,25,182,26,1,1,2010
21,19,19,105,54,8,8,2010
58,7,7,53,13,0,0,2010
71,21,21,94,41,2,2,2010
89,11,11,53,16,2,2,2010
22,13,13,99,32,2,2,2010
29,10,10,148,52,1,1,2010
35,27,27,153,57,2,2,2010
56,16,16,133,48,5,5,2010
18,10,10,41,10,0,0,2010
28,9,9,29,11,1,1,2010
36,8,8,41,10,0,0,2010
37,20,20,98,31,8,8,2010
41,12,12,69,28,0,0,2010
45,21,21,76,20,2,2,2010
08,4,4,22,5,0,0,2010
10,6,6,31,23,1,1,2010
51,11,11,65,27,4,4,2010
52,8,8,42,10,0,0,2010
2A,12,12,80,76,10,10,2010
2B,11,11,74,68,3,3,2010
25,10,10,89,17,0,0,2010
39,12,12,74,17,0,0,2010
70,4,4,26,8,0,0,2010
90,2,2,11,4,0,0,2010
75,68,68,512,605,106,106,2010
77,25,25,70,27,6,6,2010
78,22,22,51,31,3,3,2010
91,19,19,39,19,1,1,2010
92,17,17,76,50,5,5,2010
93,20,20,39,21,1,1,2010
94,14,14,47,25,0,0,2010
95,19,19,45,17,5,5,2010
11,14,14,68,30,2,2,2010
30,15,15,101,50,4,4,2010
34,20,20,149,74,4,4,2010
48,14,14,81,17,0,0,2010
66,12,12,122,46,3,3,2010
19,10,10,76,13,0,0,2010
23,5,5,30,2,0,0,2010
87,17,17,55,9,1,1,2010
54,13,13,40,13,1,1,2010
55,4,4,31,4,0,0,2010
57,13,13,75,17,2,2,2010
88,16,16,103,26,2,2,2010
09,3,3,42,10,0,0,2010
12,16,16,108,34,1,1,2010
31,26,26,116,37,6,6,2010
32,9,9,32,18,1,1,2010
46,10,10,82,33,1,1,2010
65,38,38,179,103,3,3,2010
81,8,8,51,20,2,2,2010
82,3,3,31,7,0,0,2010
59,27,27,101,39,5,5,2010
62,19,19,106,34,6,6,2010
14,29,29,138,62,5,5,2010
50,15,15,90,29,0,0,2010
61,7,7,57,8,1,1,2010
27,9,9,43,16,2,2,2010
76,32,32,105,32,2,2,2010
44,31,31,116,48,5,5,2010
49,11,11,88,16,2,2,2010
53,5,5,28,10,0,0,2010
72,13,13,46,16,1,1,2010
85,15,15,106,28,0,0,2010
02,8,8,41,14,1,1,2010
60,11,11,37,18,2,2,2010
80,8,8,46,20,1,1,2010
16,4,4,35,11,1,1,2010
17,22,22,155,46,2,2,2010
79,2,2,55,6,0,0,2010
86,12,12,52,17,1,1,2010
04,7,7,78,23,2,2,2010
05,18,18,122,21,0,0,2010
06,41,41,249,205,50,50,2010
13,30,30,185,121,20,20,2010
83,31,31,187,131,21,21,2010
84,18,18,107,58,9,9,2010
01,14,14,83,18,5,5,2010
07,13,13,92,22,1,1,2010
26,21,21,91,30,2,2,2010
38,21,21,166,54,4,4,2010
42,14,14,59,15,0,0,2010
69,25,25,126,59,8,8,2010
73,30,30,210,121,21,21,2010
74,42,42,303,145,17,17,2010
