depid,h1e,h2e,h3e,h4e,h5e,year 
67,5,67,82,22,1,2012
68,3,40,90,19,3,2012
24,7,55,65,16,1,2012
33,12,73,83,24,4,2012
40,1,44,38,4,0,2012
47,4,15,18,1,1,2012
64,12,118,86,33,9,2012
03,6,38,35,7,1,2012
15,1,39,35,1,0,2012
43,2,22,19,2,0,2012
63,10,85,48,4,3,2012
21,3,31,62,21,5,2012
58,6,23,16,1,0,2012
71,6,24,40,9,0,2012
89,3,16,19,6,1,2012
22,3,33,44,4,1,2012
29,6,66,66,18,0,2012
35,8,64,82,18,3,2012
56,8,61,74,15,2,2012
18,2,11,19,3,0,2012
28,1,9,19,4,1,2012
36,1,9,11,3,0,2012
37,11,55,38,21,1,2012
41,4,37,35,5,0,2012
45,8,28,45,9,1,2012
08,3,14,14,1,0,2012
10,3,16,20,7,1,2012
51,6,34,45,9,4,2012
52,5,15,17,0,,2012
2A,1,32,77,26,5,2012
2B,0,32,63,10,2,2012
25,5,22,32,1,0,2012
39,0,19,28,2,0,2012
70,1,2,8,0,,2012
90,1,2,7,1,0,2012
75,20,175,539,222,35,2012
77,8,16,31,13,2,2012
78,5,17,37,16,0,2012
91,7,13,20,8,0,2012
92,4,32,59,20,1,2012
93,8,11,31,10,0,2012
94,4,16,19,8,0,2012
95,9,8,16,18,0,2012
11,5,27,30,9,3,2012
30,6,52,58,11,1,2012
34,9,79,72,20,1,2012
48,2,32,17,4,0,2012
66,4,64,61,10,0,2012
19,3,35,19,3,0,2012
23,1,4,7,1,0,2012
87,3,14,24,4,0,2012
54,2,15,22,5,0,2012
55,2,15,7,1,0,2012
57,4,15,27,4,0,2012
88,3,38,30,7,0,2012
09,2,22,12,1,0,2012
12,4,67,38,7,0,2012
31,14,64,61,20,3,2012
32,2,18,24,3,0,2012
46,2,35,35,1,0,2012
65,11,89,109,12,1,2012
81,1,15,20,5,1,2012
82,1,21,9,2,0,2012
59,21,42,76,19,2,2012
62,11,46,53,14,0,2012
,32,88,129,33,2,2012
14,11,62,82,26,4,2012
50,4,44,39,3,0,2012
61,3,19,17,3,0,2012
27,3,14,24,7,0,2012
76,8,57,57,10,1,2012
44,16,73,73,16,3,2012
49,6,30,36,12,1,2012
53,2,18,12,0,,2012
72,6,16,31,4,0,2012
85,3,50,36,4,1,2012
60,4,19,27,5,0,2012
80,3,19,23,5,0,2012
16,3,20,16,3,0,2012
17,10,94,63,16,4,2012
79,4,24,17,1,0,2012
86,6,19,27,6,0,2012
04,5,54,32,5,1,2012
05,5,63,36,3,0,2012
06,18,146,182,91,29,2012
13,11,103,129,41,12,2012
83,8,121,120,28,20,2012
84,8,60,70,16,9,2012
01,4,29,31,9,2,2012
07,1,31,37,4,0,2012
26,2,50,44,7,1,2012
38,12,78,87,18,0,2012
42,3,22,26,2,1,2012
69,14,69,82,37,5,2012
73,8,106,122,39,23,2012
74,8,144,180,52,8,2012
